"Time","supermarket","alimente","mancare","cumparaturi"
"2021-04-01",5,26,98,8
"2021-05-01",6,23,69,7
"2021-06-01",6,24,72,7
"2021-07-01",7,23,77,7
"2021-08-01",9,23,79,8
"2021-09-01",6,24,76,8
"2021-10-01",7,24,85,9
"2021-11-01",6,26,91,9
"2021-12-01",6,23,74,8
"2022-01-01",6,28,79,7
"2022-02-01",5,27,80,7
"2022-03-01",6,29,91,8
"2022-04-01",6,26,87,8
"2022-05-01",5,24,71,8
"2022-06-01",6,25,76,8
"2022-07-01",8,28,77,9
"2022-08-01",8,28,81,8
"2022-09-01",6,27,79,9
"2022-10-01",7,29,87,9
"2022-11-01",6,34,89,10
"2022-12-01",7,27,80,9
"2023-01-01",6,36,96,8
"2023-02-01",5,37,84,8
"2023-03-01",6,34,100,8
"2023-04-01",7,32,79,8
"2023-05-01",6,31,74,8
"2023-06-01",6,31,72,8
"2023-07-01",7,26,75,9
"2023-08-01",9,26,77,8
"2023-09-01",7,26,76,9
"2023-10-01",6,34,77,9
"2023-11-01",6,28,81,11
"2023-12-01",7,31,73,9
"2024-01-01",6,36,76,8
"2024-02-01",7,43,74,8
"2024-03-01",11,28,81,8
"2024-04-01",9,31,79,8
"2024-05-01",8,26,63,8
"2024-06-01",8,24,62,7
"2024-07-01",8,22,62,7
"2024-08-01",10,27,71,9
"2024-09-01",8,25,70,9
"2024-10-01",7,27,75,8
"2024-11-01",7,26,75,11
"2024-12-01",8,26,60,8
"2025-01-01",9,26,69,7
"2025-02-01",8,29,69,7
"2025-03-01",6,26,76,7
"2025-04-01",8,29,64,7
"2025-05-01",6,23,59,6
"2025-06-01",7,26,59,7
"2025-07-01",9,26,64,8
"2025-08-01",9,25,65,8
"2025-09-01",7,27,58,8
"2025-10-01",7,28,64,8
"2025-11-01",10,27,67,9
"2025-12-01",11,25,59,7
"2026-01-01",9,23,61,6
"2026-02-01",8,49,60,6
"2026-03-01",9,28,72,8
"2026-04-01",10,25,64,7
