"Time","tigari","alcool","vin","bere"
"2021-04-01",12,16,43,18
"2021-05-01",12,17,41,21
"2021-06-01",13,15,38,22
"2021-07-01",14,17,39,25
"2021-08-01",16,16,42,26
"2021-09-01",15,13,48,18
"2021-10-01",14,15,48,15
"2021-11-01",13,14,48,14
"2021-12-01",13,15,76,17
"2022-01-01",15,15,49,16
"2022-02-01",14,13,41,16
"2022-03-01",14,13,40,16
"2022-04-01",14,14,44,22
"2022-05-01",15,14,39,26
"2022-06-01",17,18,40,32
"2022-07-01",17,16,40,31
"2022-08-01",19,15,42,30
"2022-09-01",18,14,53,21
"2022-10-01",18,14,50,19
"2022-11-01",16,14,54,18
"2022-12-01",14,18,87,20
"2023-01-01",15,16,48,17
"2023-02-01",16,14,43,18
"2023-03-01",14,15,43,19
"2023-04-01",14,15,52,25
"2023-05-01",15,16,42,27
"2023-06-01",15,17,42,29
"2023-07-01",18,18,39,31
"2023-08-01",16,19,41,30
"2023-09-01",16,15,53,24
"2023-10-01",15,15,55,19
"2023-11-01",14,16,57,17
"2023-12-01",13,21,99,20
"2024-01-01",16,17,50,17
"2024-02-01",15,16,42,20
"2024-03-01",14,15,42,21
"2024-04-01",16,16,46,25
"2024-05-01",16,16,48,25
"2024-06-01",14,20,39,33
"2024-07-01",14,17,41,32
"2024-08-01",17,16,46,36
"2024-09-01",16,16,52,25
"2024-10-01",14,17,52,19
"2024-11-01",13,16,55,18
"2024-12-01",14,19,88,20
"2025-01-01",16,17,53,18
"2025-02-01",14,17,44,19
"2025-03-01",14,15,42,24
"2025-04-01",13,16,58,24
"2025-05-01",13,16,42,24
"2025-06-01",15,18,40,33
"2025-07-01",16,18,46,34
"2025-08-01",19,16,51,29
"2025-09-01",15,15,57,22
"2025-10-01",13,16,58,18
"2025-11-01",13,16,63,20
"2025-12-01",14,19,100,22
"2026-01-01",14,18,54,17
"2026-02-01",28,13,41,16
"2026-03-01",19,16,47,21
"2026-04-01",16,17,65,27
