"Time","haine","incaltaminte","rochie","pantofi"
"2021-04-01",56,24,24,73
"2021-05-01",56,23,42,70
"2021-06-01",52,21,60,57
"2021-07-01",50,16,65,48
"2021-08-01",59,20,62,63
"2021-09-01",67,25,43,85
"2021-10-01",62,22,21,45
"2021-11-01",75,26,23,39
"2021-12-01",66,20,32,33
"2022-01-01",61,18,31,39
"2022-02-01",55,19,36,57
"2022-03-01",58,22,39,77
"2022-04-01",60,24,59,99
"2022-05-01",57,24,91,93
"2022-06-01",51,18,85,62
"2022-07-01",55,17,81,57
"2022-08-01",58,18,71,67
"2022-09-01",69,25,54,94
"2022-10-01",66,23,42,62
"2022-11-01",71,25,44,54
"2022-12-01",69,17,47,39
"2023-01-01",59,16,44,49
"2023-02-01",54,16,40,53
"2023-03-01",57,22,46,87
"2023-04-01",57,20,61,100
"2023-05-01",55,23,83,93
"2023-06-01",51,19,76,67
"2023-07-01",52,16,77,54
"2023-08-01",53,17,65,62
"2023-09-01",58,20,54,80
"2023-10-01",64,21,41,66
"2023-11-01",65,24,39,51
"2023-12-01",57,15,44,36
"2024-01-01",51,15,38,41
"2024-02-01",47,16,40,59
"2024-03-01",46,16,39,71
"2024-04-01",47,18,52,82
"2024-05-01",45,16,70,75
"2024-06-01",42,15,75,52
"2024-07-01",41,14,61,41
"2024-08-01",45,17,55,51
"2024-09-01",52,18,46,76
"2024-10-01",54,17,39,54
"2024-11-01",56,17,33,41
"2024-12-01",49,12,36,31
"2025-01-01",49,12,34,40
"2025-02-01",47,13,32,42
"2025-03-01",45,17,38,69
"2025-04-01",45,15,44,67
"2025-05-01",41,14,62,62
"2025-06-01",41,14,62,48
"2025-07-01",42,13,56,41
"2025-08-01",47,14,55,52
"2025-09-01",52,17,46,64
"2025-10-01",54,16,34,47
"2025-11-01",55,16,33,40
"2025-12-01",49,12,34,30
"2026-01-01",47,12,31,30
"2026-02-01",90,54,27,45
"2026-03-01",44,16,39,67
"2026-04-01",41,13,39,61
