"Time","factura curent","pret gaze","intretinere","chirie"
"2021-04-01",1,2,15,53
"2021-05-01",0,3,15,50
"2021-06-01",1,3,15,52
"2021-07-01",1,2,15,65
"2021-08-01",1,4,14,78
"2021-09-01",1,6,15,78
"2021-10-01",1,8,13,52
"2021-11-01",1,8,13,47
"2021-12-01",1,8,13,45
"2022-01-01",2,14,15,62
"2022-02-01",1,10,14,59
"2022-03-01",1,10,15,69
"2022-04-01",1,4,14,59
"2022-05-01",1,4,15,59
"2022-06-01",1,3,15,68
"2022-07-01",1,3,13,83
"2022-08-01",1,4,13,92
"2022-09-01",2,7,13,97
"2022-10-01",2,6,13,73
"2022-11-01",1,6,13,69
"2022-12-01",2,6,12,55
"2023-01-01",1,6,18,82
"2023-02-01",1,4,15,69
"2023-03-01",2,4,15,70
"2023-04-01",1,2,14,67
"2023-05-01",1,3,15,72
"2023-06-01",1,2,14,76
"2023-07-01",0,2,14,93
"2023-08-01",1,2,13,100
"2023-09-01",1,2,14,97
"2023-10-01",1,3,14,79
"2023-11-01",1,3,13,62
"2023-12-01",1,3,11,56
"2024-01-01",1,4,14,77
"2024-02-01",1,3,16,69
"2024-03-01",1,2,14,66
"2024-04-01",1,2,15,64
"2024-05-01",1,2,14,63
"2024-06-01",1,2,15,68
"2024-07-01",1,2,13,86
"2024-08-01",1,2,13,95
"2024-09-01",1,2,14,93
"2024-10-01",1,2,14,70
"2024-11-01",1,3,13,51
"2024-12-01",1,2,11,52
"2025-01-01",1,3,15,74
"2025-02-01",1,3,15,63
"2025-03-01",1,2,14,63
"2025-04-01",1,2,13,59
"2025-05-01",1,2,12,63
"2025-06-01",1,2,13,71
"2025-07-01",1,2,13,84
"2025-08-01",2,2,12,86
"2025-09-01",2,2,13,79
"2025-10-01",2,4,11,59
"2025-11-01",1,3,11,57
"2025-12-01",1,3,10,51
"2026-01-01",2,4,13,73
"2026-02-01",1,5,10,57
"2026-03-01",1,5,13,68
"2026-04-01",1,3,10,64
