"Time","farmacie","medicamente","clinica","analize"
"2021-04-01",18,10,41,34
"2021-05-01",18,9,44,32
"2021-06-01",17,9,43,32
"2021-07-01",21,9,46,32
"2021-08-01",22,10,47,31
"2021-09-01",26,11,50,34
"2021-10-01",27,14,50,38
"2021-11-01",19,11,51,37
"2021-12-01",16,10,38,28
"2022-01-01",23,12,47,31
"2022-02-01",18,12,48,34
"2022-03-01",18,12,43,35
"2022-04-01",19,11,39,31
"2022-05-01",17,10,42,33
"2022-06-01",19,10,40,31
"2022-07-01",23,9,40,30
"2022-08-01",22,10,42,31
"2022-09-01",19,9,43,29
"2022-10-01",18,9,41,32
"2022-11-01",18,11,42,33
"2022-12-01",22,11,31,26
"2023-01-01",21,14,46,36
"2023-02-01",17,12,44,37
"2023-03-01",17,12,46,37
"2023-04-01",20,10,41,31
"2023-05-01",19,11,44,36
"2023-06-01",20,10,41,32
"2023-07-01",22,11,43,31
"2023-08-01",21,10,42,29
"2023-09-01",21,10,42,32
"2023-10-01",19,10,41,31
"2023-11-01",17,10,40,31
"2023-12-01",22,11,32,26
"2024-01-01",20,13,46,32
"2024-02-01",16,11,50,35
"2024-03-01",16,10,46,32
"2024-04-01",16,10,48,33
"2024-05-01",18,10,44,30
"2024-06-01",19,10,40,28
"2024-07-01",20,9,42,28
"2024-08-01",20,10,39,27
"2024-09-01",17,10,42,28
"2024-10-01",16,10,39,30
"2024-11-01",14,10,34,27
"2024-12-01",19,9,29,23
"2025-01-01",19,11,43,29
"2025-02-01",16,11,42,33
"2025-03-01",17,10,42,32
"2025-04-01",18,10,38,30
"2025-05-01",16,9,37,30
"2025-06-01",18,9,39,29
"2025-07-01",20,10,42,30
"2025-08-01",21,11,40,31
"2025-09-01",18,10,41,31
"2025-10-01",16,10,42,31
"2025-11-01",16,10,43,31
"2025-12-01",21,10,34,26
"2026-01-01",18,11,42,31
"2026-02-01",17,9,100,31
"2026-03-01",15,11,47,39
"2026-04-01",20,10,34,33
