"Time","pret benzina","motorina","bilete tren","zboruri"
"2021-04-01",4,15,2,10
"2021-05-01",4,15,3,14
"2021-06-01",5,16,4,16
"2021-07-01",5,22,8,19
"2021-08-01",5,18,6,18
"2021-09-01",4,16,3,14
"2021-10-01",7,22,2,11
"2021-11-01",5,21,2,13
"2021-12-01",4,18,3,11
"2022-01-01",6,23,3,15
"2022-02-01",10,26,4,17
"2022-03-01",38,100,4,20
"2022-04-01",8,26,6,20
"2022-05-01",8,22,6,19
"2022-06-01",12,32,9,26
"2022-07-01",10,28,11,26
"2022-08-01",9,23,10,23
"2022-09-01",11,23,5,24
"2022-10-01",7,22,6,18
"2022-11-01",7,21,6,16
"2022-12-01",10,33,5,16
"2023-01-01",8,20,5,24
"2023-02-01",6,22,5,19
"2023-03-01",6,18,5,20
"2023-04-01",7,19,6,22
"2023-05-01",7,22,6,21
"2023-06-01",6,20,9,25
"2023-07-01",6,20,11,25
"2023-08-01",8,23,9,23
"2023-09-01",6,20,7,20
"2023-10-01",6,21,6,18
"2023-11-01",6,22,6,17
"2023-12-01",6,26,6,16
"2024-01-01",6,22,4,22
"2024-02-01",5,19,4,21
"2024-03-01",5,18,4,18
"2024-04-01",5,19,5,18
"2024-05-01",5,18,5,18
"2024-06-01",6,18,8,21
"2024-07-01",6,20,9,25
"2024-08-01",5,19,8,22
"2024-09-01",5,18,5,21
"2024-10-01",5,19,5,18
"2024-11-01",4,19,5,15
"2024-12-01",4,21,6,16
"2025-01-01",5,23,5,26
"2025-02-01",4,21,5,21
"2025-03-01",5,18,4,21
"2025-04-01",5,19,5,19
"2025-05-01",4,17,4,18
"2025-06-01",5,18,6,24
"2025-07-01",6,22,8,22
"2025-08-01",7,25,8,24
"2025-09-01",5,19,5,22
"2025-10-01",4,20,4,20
"2025-11-01",5,24,5,20
"2025-12-01",4,23,5,18
"2026-01-01",5,29,4,24
"2026-02-01",4,19,3,23
"2026-03-01",25,86,4,25
"2026-04-01",23,78,5,21
