"Time","abonament telefon","internet","telefon nou"
"2021-04-01",4,89,1
"2021-05-01",4,84,1
"2021-06-01",3,81,1
"2021-07-01",3,85,1
"2021-08-01",4,79,1
"2021-09-01",4,82,1
"2021-10-01",4,93,1
"2021-11-01",4,87,1
"2021-12-01",5,88,2
"2022-01-01",5,100,2
"2022-02-01",4,99,1
"2022-03-01",4,98,1
"2022-04-01",4,95,1
"2022-05-01",4,86,1
"2022-06-01",5,89,1
"2022-07-01",4,89,1
"2022-08-01",5,86,1
"2022-09-01",4,91,1
"2022-10-01",4,95,2
"2022-11-01",4,91,1
"2022-12-01",5,87,2
"2023-01-01",5,89,2
"2023-02-01",5,85,1
"2023-03-01",4,90,1
"2023-04-01",4,88,1
"2023-05-01",4,88,1
"2023-06-01",4,81,2
"2023-07-01",4,86,1
"2023-08-01",4,83,1
"2023-09-01",5,83,2
"2023-10-01",4,88,2
"2023-11-01",5,88,2
"2023-12-01",5,85,2
"2024-01-01",5,86,2
"2024-02-01",4,87,1
"2024-03-01",4,86,1
"2024-04-01",3,87,1
"2024-05-01",4,90,1
"2024-06-01",4,80,1
"2024-07-01",4,82,1
"2024-08-01",4,80,1
"2024-09-01",4,88,2
"2024-10-01",4,84,2
"2024-11-01",4,83,1
"2024-12-01",4,84,2
"2025-01-01",3,86,2
"2025-02-01",4,87,1
"2025-03-01",3,79,2
"2025-04-01",3,77,2
"2025-05-01",3,76,2
"2025-06-01",3,80,1
"2025-07-01",4,80,2
"2025-08-01",3,83,2
"2025-09-01",4,86,2
"2025-10-01",3,81,2
"2025-11-01",4,92,2
"2025-12-01",4,91,2
"2026-01-01",4,88,2
"2026-02-01",3,79,2
"2026-03-01",4,92,2
"2026-04-01",3,72,2
