"Time","bilete concert","cinema","carti","festival"
"2021-04-01",0,8,26,2
"2021-05-01",0,21,24,3
"2021-06-01",0,51,23,5
"2021-07-01",0,45,22,7
"2021-08-01",0,44,25,12
"2021-09-01",0,43,25,14
"2021-10-01",0,31,28,2
"2021-11-01",0,30,33,2
"2021-12-01",0,47,29,2
"2022-01-01",0,49,33,3
"2022-02-01",0,43,32,4
"2022-03-01",1,51,27,5
"2022-04-01",0,56,26,7
"2022-05-01",0,42,23,14
"2022-06-01",0,47,24,18
"2022-07-01",0,53,22,18
"2022-08-01",0,58,24,19
"2022-09-01",0,56,26,11
"2022-10-01",0,88,27,6
"2022-11-01",1,61,29,5
"2022-12-01",1,88,32,4
"2023-01-01",0,100,36,5
"2023-02-01",1,69,36,6
"2023-03-01",0,63,33,6
"2023-04-01",0,61,34,10
"2023-05-01",0,57,36,13
"2023-06-01",0,55,33,21
"2023-07-01",1,78,30,18
"2023-08-01",0,66,28,19
"2023-09-01",0,69,34,13
"2023-10-01",1,74,37,8
"2023-11-01",1,66,36,4
"2023-12-01",1,65,38,3
"2024-01-01",1,73,39,4
"2024-02-01",0,56,36,6
"2024-03-01",0,53,34,7
"2024-04-01",0,57,32,9
"2024-05-01",0,41,31,11
"2024-06-01",1,44,28,16
"2024-07-01",0,47,25,21
"2024-08-01",0,51,26,17
"2024-09-01",0,50,32,10
"2024-10-01",0,57,33,7
"2024-11-01",1,54,35,4
"2024-12-01",1,53,35,4
"2025-01-01",0,60,36,4
"2025-02-01",0,41,35,5
"2025-03-01",0,39,34,6
"2025-04-01",1,48,29,8
"2025-05-01",1,42,26,9
"2025-06-01",0,36,25,18
"2025-07-01",1,41,25,19
"2025-08-01",0,39,26,20
"2025-09-01",1,52,28,12
"2025-10-01",0,48,30,7
"2025-11-01",1,53,30,6
"2025-12-01",1,69,30,5
"2026-01-01",1,73,31,5
"2026-02-01",0,52,28,6
"2026-03-01",1,41,24,7
"2026-04-01",0,36,21,6
