"Time","restaurant","cazare","hotel","booking"
"2021-04-01",13,15,29,8
"2021-05-01",20,27,45,14
"2021-06-01",22,38,64,22
"2021-07-01",28,73,100,30
"2021-08-01",33,70,94,23
"2021-09-01",23,25,43,10
"2021-10-01",15,14,27,7
"2021-11-01",14,16,30,9
"2021-12-01",18,15,29,8
"2022-01-01",18,24,42,13
"2022-02-01",20,18,39,12
"2022-03-01",21,16,34,10
"2022-04-01",22,21,43,14
"2022-05-01",24,28,56,19
"2022-06-01",26,47,80,26
"2022-07-01",28,56,92,28
"2022-08-01",30,56,81,23
"2022-09-01",25,25,44,12
"2022-10-01",23,22,44,11
"2022-11-01",22,20,39,11
"2022-12-01",21,15,34,9
"2023-01-01",23,25,52,16
"2023-02-01",24,21,46,13
"2023-03-01",23,18,42,12
"2023-04-01",22,22,47,13
"2023-05-01",24,27,54,16
"2023-06-01",25,38,69,21
"2023-07-01",29,55,88,22
"2023-08-01",32,47,75,19
"2023-09-01",26,27,49,10
"2023-10-01",24,20,39,8
"2023-11-01",21,18,38,9
"2023-12-01",23,15,34,8
"2024-01-01",22,21,55,14
"2024-02-01",26,18,56,12
"2024-03-01",25,15,46,9
"2024-04-01",24,19,47,11
"2024-05-01",25,24,58,11
"2024-06-01",27,37,79,16
"2024-07-01",30,50,92,18
"2024-08-01",32,49,81,17
"2024-09-01",27,26,50,10
"2024-10-01",23,18,42,9
"2024-11-01",21,14,34,8
"2024-12-01",21,15,33,8
"2025-01-01",22,21,48,13
"2025-02-01",23,16,40,10
"2025-03-01",23,14,37,9
"2025-04-01",20,15,39,10
"2025-05-01",22,17,41,10
"2025-06-01",24,29,61,16
"2025-07-01",25,35,74,18
"2025-08-01",29,36,67,17
"2025-09-01",24,22,42,10
"2025-10-01",22,15,40,9
"2025-11-01",25,14,46,10
"2025-12-01",24,12,37,9
"2026-01-01",24,17,46,11
"2026-02-01",40,12,39,9
"2026-03-01",21,12,36,9
"2026-04-01",19,11,30,7
