"Time","asigurare","salon","banca","credit"
"2021-04-01",9,20,43,43
"2021-05-01",9,23,44,40
"2021-06-01",10,28,43,41
"2021-07-01",11,31,46,41
"2021-08-01",11,33,42,47
"2021-09-01",14,26,42,41
"2021-10-01",21,18,39,35
"2021-11-01",14,18,39,36
"2021-12-01",13,19,37,35
"2022-01-01",17,18,39,40
"2022-02-01",17,20,41,40
"2022-03-01",15,21,48,38
"2022-04-01",14,24,40,40
"2022-05-01",15,28,41,40
"2022-06-01",13,29,44,42
"2022-07-01",14,31,43,43
"2022-08-01",14,29,43,46
"2022-09-01",12,25,43,40
"2022-10-01",15,22,41,41
"2022-11-01",14,21,40,40
"2022-12-01",13,20,41,38
"2023-01-01",16,20,38,42
"2023-02-01",18,20,37,42
"2023-03-01",20,21,42,46
"2023-04-01",16,22,38,41
"2023-05-01",16,27,43,48
"2023-06-01",16,27,40,48
"2023-07-01",18,29,39,48
"2023-08-01",21,30,39,50
"2023-09-01",17,26,43,50
"2023-10-01",17,21,40,46
"2023-11-01",18,21,39,49
"2023-12-01",20,21,35,45
"2024-01-01",18,21,36,46
"2024-02-01",17,23,39,50
"2024-03-01",18,22,37,49
"2024-04-01",16,24,38,51
"2024-05-01",15,26,38,46
"2024-06-01",15,26,35,44
"2024-07-01",17,28,33,48
"2024-08-01",17,28,34,51
"2024-09-01",17,25,35,47
"2024-10-01",16,21,33,45
"2024-11-01",15,18,30,41
"2024-12-01",15,18,32,35
"2025-01-01",16,20,34,42
"2025-02-01",16,20,36,39
"2025-03-01",15,21,36,40
"2025-04-01",14,21,34,44
"2025-05-01",14,23,33,38
"2025-06-01",16,23,33,38
"2025-07-01",21,25,34,42
"2025-08-01",23,26,33,40
"2025-09-01",19,23,33,41
"2025-10-01",20,20,33,39
"2025-11-01",18,21,33,46
"2025-12-01",18,20,29,45
"2026-01-01",19,19,31,45
"2026-02-01",19,100,26,47
"2026-03-01",24,22,31,51
"2026-04-01",20,20,35,41
